學校,年度,科目,題號,單元,題型,答案,答案來源,釋疑校對,阿摩校對,詳解,題目圖,詳解連結,狀態,錯因,備註
中國醫藥大學,106,化學,1,鍵結/光譜,"1. 下列化合物是以費雪(Fischer)投影方式呈現,請問I及II各有多少個掌性(chiral)中心? CH3 CH3 HO H HO H H OH H OH HO H H OH CH3 CH3 I II (A) I:0;II:3 (B) I:2;II:2 (C) I:2;II:3 (D) I:3;II:2 (E) I:3;II:3",待查,未找到官方參考答案,未找到官方釋疑公告,未查；缺官方參考答案,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\106\chemistry\q001\CMU_106_chem_q001_full.png,,待複習,,中國醫106化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,106,化學,2,芳香族/有機反應,"2. 下列四種苯甲酸化合物,酸性由大到小的順序何者正確? CO2H CO2H CO2H CO2H OH HO OH I II III IV (A) I>II>III>IV (B) I>IV>III>II (C) II>III>I>IV (D) II>III>IV>I (E) III>II>IV>I",待查,未找到官方參考答案,未找到官方釋疑公告,未查；缺官方參考答案,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\106\chemistry\q002\CMU_106_chem_q002_full.png,,待複習,,中國醫106化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,106,化學,3,酸鹼/溶液,"3. 關於去氧核醣核酸(DNA)的敘述,下列何者錯誤? (A) 為掌性分子 (B) 鹼基種類共五種 (C) 醣類部分為五碳糖 (D) 組成的單體稱為核苷酸(nucleotide) (E) 糖與糖之間用磷酸酯做連接",待查,未找到官方參考答案,未找到官方釋疑公告,未查；缺官方參考答案,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\106\chemistry\q003\CMU_106_chem_q003_full.png,,待複習,,中國醫106化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,106,化學,4,未分類,"4. 下列反應何者並無涉及到自由基的生成? 1. Ag2O, H2O (A) CO2H Br (B) 2. Br2,  HBr Br 1. O2,  (C) (D) HO peroxide,  2. H3O+ Br (E) NBS MeO CHO MeO CHO",待查,未找到官方參考答案,未找到官方釋疑公告,未查；缺官方參考答案,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\106\chemistry\q004\CMU_106_chem_q004_full.png,,待複習,,中國醫106化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,106,化學,5,未分類,5. 完成以下反應所使用的最佳試劑為何? O O H ? H O (A) t-BuOK (B) EtONa (C) EtNH2 (D) Et2NH (E) p-TsOH,待查,未找到官方參考答案,未找到官方釋疑公告,未查；缺官方參考答案,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\106\chemistry\q005\CMU_106_chem_q005_full.png,,待複習,,中國醫106化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,106,化學,6,未分類,"6. 下列反應何者可以得到預期的產物? 1. OsO4 H3O+ OH (A) (B) 2. NaHSO3 HO OH HCl O 1. LiAlH4 (C) (D) peroxide,  Cl NH2 2. H2O OH Br NH2 (E) NaNH2 CF3 CF3 NH3",待查,未找到官方參考答案,未找到官方釋疑公告,未查；缺官方參考答案,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\106\chemistry\q006\CMU_106_chem_q006_full.png,,待複習,,中國醫106化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,106,化學,7,未分類,7. 以下化合物與氯及氯化鐵進行單一氯化反應何者為主要產物? H N O O Cl2 FeCl3 Cl H H H N Cl N N O O Cl O (A) O (B) O (C) O H H N N O O (D) O Cl (E) O Cl,待查,未找到官方參考答案,未找到官方釋疑公告,未查；缺官方參考答案,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\106\chemistry\q007\CMU_106_chem_q007_full.png,,待複習,,中國醫106化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,106,化學,8,未分類,"8. 環己烷(I)為單環分子,降冰片烷(norbornane;II)為雙環分子,請問III為幾環分子? I II III (A) 肆環 (B) 伍環 (C) 陸環 (D) 柒環 (E) 捌環",待查,未找到官方參考答案,未找到官方釋疑公告,未查；缺官方參考答案,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\106\chemistry\q008\CMU_106_chem_q008_full.png,,待複習,,中國醫106化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,106,化學,9,未分類,"9. 某2-丁醇液體其比旋光值(specific rotation)為[α]D25 = +10.82 ̊,請問在此液體中(R)-2-丁醇 及(S)-2-丁醇的組成百分比分別是多少?[純(R)-2-丁醇比旋光值為[α]D25 = –13.52 ̊;純(S)-2- 丁醇比旋光值為[α]D25 = +13.52 ̊] (A) R:10%;S:90% (B) R:20%;S:80% (C) R:50%;S:50% (D) R:80%;S:20% (E) R:90%;S:10%",待查,未找到官方參考答案,未找到官方釋疑公告,未查；缺官方參考答案,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\106\chemistry\q009\CMU_106_chem_q009_full.png,,待複習,,中國醫106化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,106,化學,10,芳香族/有機反應,"10. 在紅外線光譜中,下列哪一個範圍主要用來判斷雙取代苯化合物是屬於鄰位、間位或是對 位? (A) 600~1000 cm–1 (B) 1400~1650 cm–1 (C) 2000~2200 cm–1 (D) 2700~3000 cm–1 (E) 3000~3400 cm–1",待查,未找到官方參考答案,未找到官方釋疑公告,未查；缺官方參考答案,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\106\chemistry\q010\CMU_106_chem_q010_full.png,,待複習,,中國醫106化學完整題圖；每題單張圖片包含題幹與所有選項。
