學校,年度,科目,題號,單元,題型,答案,答案來源,官方釋疑,阿摩狀態,詳解,題目圖,詳解連結,審圖狀態,備註
義守大學,108,化學,1,,單選題,C,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\ISU\108\chemistry\q001\ISU_108_chem_q001_full.png,,已抽查,義守大學108化學完整題圖；每題單張圖片包含題幹與所有選項。
義守大學,108,化學,2,,單選題,B,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\ISU\108\chemistry\q002\ISU_108_chem_q002_full.png,,已抽查,義守大學108化學完整題圖；每題單張圖片包含題幹與所有選項。
義守大學,108,化學,3,,單選題,A,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\ISU\108\chemistry\q003\ISU_108_chem_q003_full.png,,已抽查,義守大學108化學完整題圖；每題單張圖片包含題幹與所有選項。
義守大學,108,化學,4,,單選題,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\ISU\108\chemistry\q004\ISU_108_chem_q004_full.png,,已抽查,義守大學108化學完整題圖；每題單張圖片包含題幹與所有選項。
義守大學,108,化學,5,,單選題,B,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\ISU\108\chemistry\q005\ISU_108_chem_q005_full.png,,已抽查,義守大學108化學完整題圖；每題單張圖片包含題幹與所有選項。
義守大學,108,化學,6,,單選題,A,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\ISU\108\chemistry\q006\ISU_108_chem_q006_full.png,,已抽查,義守大學108化學完整題圖；每題單張圖片包含題幹與所有選項。
義守大學,108,化學,7,,單選題,C,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\ISU\108\chemistry\q007\ISU_108_chem_q007_full.png,,已抽查,義守大學108化學完整題圖；每題單張圖片包含題幹與所有選項。
義守大學,108,化學,8,,單選題,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\ISU\108\chemistry\q008\ISU_108_chem_q008_full.png,,已抽查,義守大學108化學完整題圖；每題單張圖片包含題幹與所有選項。
義守大學,108,化學,9,,單選題,A,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\ISU\108\chemistry\q009\ISU_108_chem_q009_full.png,,已抽查,義守大學108化學完整題圖；每題單張圖片包含題幹與所有選項。
義守大學,108,化學,10,,單選題,C,官方參考答案,釋疑後未更改答案：維持原答案C,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\ISU\108\chemistry\q010\ISU_108_chem_q010_full.png,,已抽查,義守大學108化學完整題圖；每題單張圖片包含題幹與所有選項。；官方釋疑：釋疑後未更改答案：維持原答案C
