學校,年度,科目,題號,單元,題型,答案,答案來源,官方釋疑,阿摩狀態,詳解,題目圖,詳解連結,審圖狀態,備註
慈濟大學,114,化學,1,,單選題,C,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q001\TCU_114_chem_q001_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,2,,單選題,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q002\TCU_114_chem_q002_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,3,,單選題,A,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q003\TCU_114_chem_q003_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,4,,單選題,C,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q004\TCU_114_chem_q004_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,5,,單選題,B,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q005\TCU_114_chem_q005_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,6,,單選題,C,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q006\TCU_114_chem_q006_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,7,,單選題,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q007\TCU_114_chem_q007_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,8,,單選題,A,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q008\TCU_114_chem_q008_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,9,,單選題,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q009\TCU_114_chem_q009_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,10,,單選題,C,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q010\TCU_114_chem_q010_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,11,,單選題,A,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q011\TCU_114_chem_q011_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,12,,單選題,B,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q012\TCU_114_chem_q012_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,13,,單選題,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q013\TCU_114_chem_q013_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,14,,單選題,C,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q014\TCU_114_chem_q014_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,15,,單選題,A,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q015\TCU_114_chem_q015_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,16,,單選題,B,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q016\TCU_114_chem_q016_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,17,,單選題,C,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q017\TCU_114_chem_q017_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,18,,單選題,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q018\TCU_114_chem_q018_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,19,,單選題,C,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q019\TCU_114_chem_q019_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,20,,單選題,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q020\TCU_114_chem_q020_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,21,,單選題,B,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q021\TCU_114_chem_q021_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,22,,單選題,C,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q022\TCU_114_chem_q022_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,23,,單選題,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q023\TCU_114_chem_q023_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,24,,單選題,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q024\TCU_114_chem_q024_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,25,,單選題,A,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q025\TCU_114_chem_q025_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,26,,單選題,C,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q026\TCU_114_chem_q026_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,27,,單選題,C,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q027\TCU_114_chem_q027_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,28,,單選題,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q028\TCU_114_chem_q028_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,29,,單選題,A,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q029\TCU_114_chem_q029_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,30,,單選題,B,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q030\TCU_114_chem_q030_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,31,,單選題,A,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q031\TCU_114_chem_q031_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,32,,單選題,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q032\TCU_114_chem_q032_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,33,,單選題,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q033\TCU_114_chem_q033_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,34,,單選題,B,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q034\TCU_114_chem_q034_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,35,,單選題,B,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q035\TCU_114_chem_q035_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,36,,單選題,A,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q036\TCU_114_chem_q036_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,37,,單選題,C,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q037\TCU_114_chem_q037_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,38,,單選題,B,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q038\TCU_114_chem_q038_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
